,title,price,rating,reviews,availability,brand,model,color
0,Apple Wired EarPods with Lightning Connector,,4.4 out of 5 stars,"17,929 ratings",,Apple,MMTN2ZM/A,White
1,"pTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Deep Bass, 10mm Drivers, Clear Calls, Dual Pairing, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black",₹599.00,3.8 out of 5 stars,"69,272 ratings",In stock,pTron,Tangent,Active Black
2,"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black",₹449.00,4.2 out of 5 stars,"35,598 ratings",In stock,Samsung,EHS64,Black
3,"JBL Endurance RunBT, Sports in Ear Wireless Bluetooth Earphones with Mic, Sweatproof, Flexsoft eartips, Magnetic Earbuds, Fliphook & TwistLock Technology, Voice Assistant Support (Black)",₹999.00,3.5 out of 5 stars,"14,309 ratings",In stock,JBL,Endurance RunBT,Black
4,Apple EarPods with 3.5mm Headphone Plug,"₹1,699.00",4.3 out of 5 stars,"29,362 ratings",In stock,Apple,MNHF2ZM/A,White
5,"PTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",₹299.00,3.5 out of 5 stars,"21,482 ratings",In stock,pTron,Boom Ultima,Dark Blue
6,Samsung Ehs64 Ehs64Avfwecinu Hands-Free Wired In Ear Earphones With Mic With Remote Note (White),₹449.00,4.4 out of 5 stars,"35,598 ratings",In stock,Samsung,EHS64,White
7,"Wecool Nylon Braided 3 in 1 Charging Cable, Multifunctional Cable 1.2 Mtr Long, Multi charging cable for Micro usb, iPhone & Type C devices, 3 in1 Charging Cable (Black) (4 feet)",₹349.00,3.4 out of 5 stars,"12,446 ratings",In stock,Wecool,,
8,"pTron Bassbuds Plus in Ear True Wireless Stereo Earbuds with Mic, Deep Bass Bluetooth Headphones, Voice Assistance, IPX4 Sweat & Water Resistant TWS, 12Hrs Battery & Fast Charge (Blue & Black)",₹699.00,3.5 out of 5 stars,"132,190 ratings",In stock,pTron,Bassbuds Plus,Blue & Black
9,Oneplus USB Type C to 3.5mm Adapter for OnePlus 10 pro Oneplus 11R 7T 8T 9 Pro and All oneplus Devices Headphone Jack Adapter - USB Type C to 3.5mm Jack (Multi Colour),₹99.00,4.4 out of 5 stars,75 ratings,In stock,For All type C devices,,Red
10,Matlek Bluetooth Earbuds | High Bass in Ear Earphones | 15 Hours Non Stop with Case Battery Headphones | Low Latency for Gaming Earbuds - Black,₹499.00,3.4 out of 5 stars,944 ratings,In stock,Matlek,Matlek TWS,Black
11,"Mivi Duopods A25 Bluetooth Truly Wireless in Ear Earbuds with Mic with 40Hours Battery, 13Mm Bass Drivers & Made in India with Immersive Sound Quality, Voice Assistant, Touch Control (Red)",₹799.00,3.6 out of 5 stars,"38,327 ratings",In stock,Mivi,Duopods A25,red
12,"Mivi Duopods A25 Bluetooth Truly Wireless in Ear Earbuds with Mic with 40Hours Battery, 13Mm Bass Drivers & Made in India. with Immersive Sound Quality, Voice Assistant, Touch Control (White)",₹999.00,3.6 out of 5 stars,"38,327 ratings",In stock,Mivi,Duopods A25,white
13,"(Refurbished) pTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",,3.5 out of 5 stars,287 ratings,,pTron,,Dark Blue
14,"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Bronze","₹6,999.00",3.9 out of 5 stars,"9,197 ratings",In stock,Samsung,Galaxy Bean_Buds Live,Mystic Bronze
15,Apple AirPods Pro,"₹24,990.00",4.5 out of 5 stars,"17,002 ratings",,Apple,Apple AirPods Pro,White
16,"PTron Bassbuds in-Ear True Wireless Bluetooth 5.0 Headphones with Hi-Fi Deep Bass, 20Hrs Playtime with Case, Ergonomic Sweatproof Earbuds, Noise Isolation, Voice Assistance & Built-in Mic - (White)",₹698.00,3.5 out of 5 stars,"3,127 ratings",In stock,pTron,Bassbuds,White
