,title,price,rating,reviews,availability,brand,model,screen_size
0,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),"6,999",4.2 stars,"7,348 ratings",In stock,32 Inches,Frameless Series,32 Inches
1,Acer 80 cm(32 inches) Advanced N Series HD LED TV AR32NSV53HDFL (Black),"7,999",3.8 out of 5 stars,315 ratings,In stock,32 Inches,AR32NSV53HDFL,32 Inches
2,iFFALCON 80.04 cm (32 inches) Bezel-Less S Series HD Ready Smart Android LED TV iFF32S53 (Black),"8,499",4.1 stars,"3,617 ratings",In stock,32 Inches,iFF32S53,32 Inches
3,Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"14,990",4.4 stars,"12,985 ratings",In stock,32 Inches,UA32T4380AKXXL,32 Inches
4,Samsung 108 cm (43 Inches) Crystal Vision 4K Ultra HD Smart LED TV UA43CUE70AKLXL (Titan Gray),"31,990",4.4 stars,"11,267 ratings",In stock,43 Inches,UA43CUE70AKLXL,43 Inches
5,Redmi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32R8-FVIN (Black),"12,999",4.2 out of 5 stars,"60,037 ratings",In stock,32 Inches,L32R8,32 Inches
6,MI 80 cm (32 inches) A Series HD Ready Smart Google TV L32M8-5AIN (Black),"13,999",4.2 out of 5 stars,"55,945 ratings",In stock,32 Inches,L32M8-5AIN,32 Inches
7,iFFALCON 138.7 cm (55 inches) 4K Ultra HD Smart LED Google TV iFF55U62 (Black),,4.1 out of 5 stars,"3,617 ratings",,55 Inches,iFF55U62,55 Inches
8,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),,4.3 out of 5 stars,"14,138 ratings",,32 Inches,,32 Inches
9,iFFALCON 108 cm (43 inches) 4K Ultra HD Smart LED Google TV iFF43U62 (Black),"17,999",4.1 stars,"3,617 ratings",In stock,43 Inches,iFF43U62,43 Inches
10,VW 60 cm (24 inches) Premium Series HD Ready LED TV VW24A (Black),"5,699",4.2 stars,"7,348 ratings",In stock,24 Inches,vw24a,24 Inches
11,Acer 100 cm (40 inches) Advanced I Series Full HD Smart LED Google TV AR40GR2841FDFL (Black),"17,999",4.4 out of 5 stars,"5,246 ratings",In stock,40 Inches,AR40GR2841FDFL,40 Inches
12,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"13,990",4.5 stars,"14,798 ratings",In stock,32 Inches,LED SMART,32 Inches
13,Kodak 108 cm (43 inches) 9XPRO Series Full HD Certified Android LED TV 439X5081 (Black),"15,999",4.4 out of 5 stars,"12,682 ratings",In stock,43 Inches,439X5081,43 Inches
14,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999",4.1 out of 5 stars,"12,969 ratings",In stock,43 Inches,43 Y1S Pro,43 Inches
15,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UR7500PSC (Dark Iron Gray),"31,990",4.5 stars,"4,681 ratings",In stock,43 Inches,43UR7500PSC,43 Inches
16,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ643BPTA (Black),"15,490",4.5 stars,"14,798 ratings",In stock,32 Inches,32LQ643BPTA,32 Inches
17,TCL 101 cm (40 inches) Bezel-Less S Series Full HD Smart Android LED TV 40S5400A (Black),"17,990",4.1 stars,"5,169 ratings",In stock,40 Inches,40S5400A,40 Inches
18,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),"43,990",4.5 stars,"4,681 ratings",In stock,55 Inches,55UR7500PSC,55 Inches
19,VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW3251 (Black),"7,999",4.1 out of 5 stars,"3,629 ratings",In stock,32 Inches,VW 80 cm (32 inches) HD Ready Smart LED TV VW3251 (Black) (2022 Model) | | With Frameless Design,32 Inches
20,TCL 80.04 cm (32 inches) Bezel-Less S Series FHD Smart Android LED TV 32S5403AF (Black),"13,390",4.1 stars,"5,169 ratings",In stock,32,32S5403AF,32
21,VU 126 cm (50 inches) The GloLED Series 4K Smart LED Google TV 50GloLED (Grey),"32,999",4.5 out of 5 stars,"4,121 ratings",In stock,50 Inches,Vu GloLED Series,50 Inches
22,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"14,990",4.4 stars,"12,985 ratings",In stock,32 Inches,UA32T4340BKXXL,32 Inches
23,VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),"7,777",4.2 stars,"10,451 ratings",In stock,32 Inches,VW32S,32 Inches
24,Samsung 108 cm (43 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA43CUE60AKLXL (Black),"30,990",4.4 stars,"11,267 ratings",In stock,43 Inches,UA43CUE60AKLXL,43 Inches
25,Kodak 100 cm (40 inches) Special Edition Series Full HD Smart LED TV 40SE5003BL (Black),"13,999",4.4 out of 5 stars,"1,460 ratings",In stock,40 Inches,40SE5003BL,40 Inches
26,2022 Apple TV 4K Wi‑Fi with 64GB Storage (3rd Generation),"14,900",4.9 out of 5 stars,20 ratings,In stock,Apple,Apple TV,
27,Vu 139 cm (55 inches) The GloLED Series 4K Smart LED Google TV 55GloLED (Grey),"38,999",4.5 out of 5 stars,"4,121 ratings",In stock,55 Inches,Vu GloLED Series,55 Inches
